ITFACIL - Resultado Analitico de Backup

Report Time Frame: Previous 24 Hours
Nome do Job,Nome do Servidor,Status do Backup,Inicio do Backup,Final do Backup,Volume Protegido(GB),Tipo de Backup,Nome do Agendamento
ITFACIL_VMWARE_EEHQVMSIPAPP110,EEHQVMSIPAPP100,Successful,"Nov 27, 2024 1:00:14 PM","Nov 27, 2024 1:11:18 PM",120.98,Backup,Diario
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMSERVHUB110,Successful,"Nov 26, 2024 6:10:39 PM","Nov 26, 2024 6:11:30 PM",13.68,Backup,Diario
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMSERVHUB110,Successful,"Nov 26, 2024 6:00:00 PM","Nov 26, 2024 6:11:38 PM",0,Snapshot,UNKNOWN
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMSERVHUB100,Successful,"Nov 26, 2024 6:09:28 PM","Nov 26, 2024 6:10:30 PM",11.8,Backup,Diario
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMSERVHUB100,Successful,"Nov 26, 2024 6:00:00 PM","Nov 26, 2024 6:10:34 PM",0,Snapshot,UNKNOWN
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMSDB101 (database-homol-siscom-desativado),Successful,"Nov 26, 2024 6:08:41 PM","Nov 26, 2024 6:09:18 PM",187.31,Backup,Diario
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMSDB101 (database-homol-siscom-desativado),Successful,"Nov 26, 2024 6:00:00 PM","Nov 26, 2024 6:09:24 PM",0,Snapshot,UNKNOWN
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMRUNNER100,Successful,"Nov 26, 2024 6:00:00 PM","Nov 26, 2024 6:08:40 PM",0,Snapshot,UNKNOWN
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMRUNNER100,Successful,"Nov 26, 2024 6:08:05 PM","Nov 26, 2024 6:08:36 PM",6.8,Backup,Diario
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMRSCH110,Successful,"Nov 26, 2024 6:26:51 PM","Nov 26, 2024 9:08:44 PM",977.69,Backup,Diario
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMRSCH110,Successful,"Nov 26, 2024 6:00:01 PM","Nov 26, 2024 9:14:56 PM",0,Snapshot,UNKNOWN
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMRSCH101-SSD,Successful,"Nov 26, 2024 6:00:00 PM","Nov 26, 2024 6:36:44 PM",0,Snapshot,UNKNOWN
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMRSCH101-SSD,Successful,"Nov 26, 2024 6:06:49 PM","Nov 26, 2024 6:36:02 PM","1,008.45",Backup,Diario
ITFACIL_VMWARE_EEHQVMRH110,EEHQVMRH110,Successful,"Nov 26, 2024 7:00:00 PM","Nov 26, 2024 7:01:44 PM",0,Snapshot,UNKNOWN
ITFACIL_VMWARE_EEHQVMRH110,EEHQVMRH110,Successful,"Nov 26, 2024 7:00:14 PM","Nov 26, 2024 7:01:38 PM",15.75,Backup,Diario
ITFACIL_VMWARE_EEHQVMRH100,EEHQVMRH100,Successful,"Nov 26, 2024 7:00:00 PM","Nov 26, 2024 7:03:00 PM",0,Snapshot,UNKNOWN
ITFACIL_VMWARE_EEHQVMRH100,EEHQVMRH100,Successful,"Nov 26, 2024 7:00:18 PM","Nov 26, 2024 7:02:54 PM",18.02,Backup,Diario
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,eehqvmprg100.itfacil.br,Successful,"Nov 26, 2024 6:00:00 PM","Nov 26, 2024 6:23:48 PM",0,Snapshot,UNKNOWN
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,eehqvmprg100.itfacil.br,Successful,"Nov 26, 2024 6:06:51 PM","Nov 26, 2024 6:23:32 PM",262.27,Backup,Diario
ITFACIL_WIN_EEHQVMPRG100_FS,eehqvmprg100.itfacil.br,Successful,"Nov 26, 2024 7:00:00 PM","Nov 26, 2024 7:15:58 PM",46.09,Backup,Diario
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMPBIGW101,Successful,"Nov 26, 2024 6:06:07 PM","Nov 26, 2024 6:08:00 PM",35.12,Backup,Diario
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMPBIGW101,Successful,"Nov 26, 2024 6:00:00 PM","Nov 26, 2024 6:08:06 PM",0,Snapshot,UNKNOWN
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMPBIGW100,Successful,"Nov 26, 2024 6:00:00 PM","Nov 26, 2024 6:06:38 PM",0,Snapshot,UNKNOWN
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMPBIGW100,Successful,"Nov 26, 2024 6:04:33 PM","Nov 26, 2024 6:06:32 PM",35.08,Backup,Diario
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMMON001,Successful,"Nov 26, 2024 6:00:00 PM","Nov 26, 2024 6:06:26 PM",0,Snapshot,UNKNOWN
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMMON001,Successful,"Nov 26, 2024 6:03:55 PM","Nov 26, 2024 6:06:20 PM",37.58,Backup,Diario
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMKAV101,Successful,"Nov 26, 2024 6:00:00 PM","Nov 26, 2024 6:17:22 PM",0,Snapshot,UNKNOWN
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMKAV101,Successful,"Nov 26, 2024 6:03:40 PM","Nov 26, 2024 6:17:04 PM",104.43,Backup,Diario
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMJKSNFS110,Successful,"Nov 26, 2024 6:00:00 PM","Nov 26, 2024 6:04:26 PM",0,Snapshot,UNKNOWN
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMJKSNFS110,Successful,"Nov 26, 2024 6:02:35 PM","Nov 26, 2024 6:04:20 PM",34.57,Backup,Diario
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMGLG,Successful,"Nov 26, 2024 6:00:00 PM","Nov 26, 2024 6:06:02 PM",0,Snapshot,UNKNOWN
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMGLG,Successful,"Nov 26, 2024 6:02:17 PM","Nov 26, 2024 6:05:56 PM",54.52,Backup,Diario
ITFACIL_VMWARE_EEHQVMFS102,EEHQVMFS102,Successful,"Nov 26, 2024 7:00:00 PM","Nov 26, 2024 8:33:16 PM",0,Snapshot,UNKNOWN
ITFACIL_VMWARE_EEHQVMFS102,EEHQVMFS102,Successful,"Nov 26, 2024 7:00:37 PM","Nov 26, 2024 8:32:52 PM","2,466.2",Backup,Diario
ITFACIL_VMWARE_EEHQVMFS101,EEHQVMFS101,Successful,"Nov 26, 2024 7:00:33 PM","Nov 26, 2024 7:27:34 PM","2,593.7",Backup,Diario
ITFACIL_VMWARE_EEHQVMFS101,EEHQVMFS101,Successful,"Nov 26, 2024 7:00:00 PM","Nov 26, 2024 7:27:56 PM",0,Snapshot,UNKNOWN
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMFRONTNICOLA110,Successful,"Nov 26, 2024 6:00:00 PM","Nov 26, 2024 6:03:48 PM",0,Snapshot,UNKNOWN
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMFRONTNICOLA110,Successful,"Nov 26, 2024 6:02:13 PM","Nov 26, 2024 6:03:42 PM",31.96,Backup,Diario
ITFACIL_VMWARE_EEHQVMVCENTERDC01A,EEHQVMFRONTNICOLA01,Successful,"Nov 26, 2024 6:00:00 PM","Nov 26, 2024 6:02:58 PM",0,Snapshot,UNKNOWN
